Akrasan Squire	soa	001	Creature - Human Soldier	common
Angel's Herald	soa	002	Creature - Human Cleric	uncommon
Angelic Benediction	soa	003	Enchantment	uncommon
Angelsong	soa	004	Instant	common
Bant Battlemage	soa	005	Creature - Human Wizard	uncommon
Battlegrace Angel	soa	006	Creature - Angel	rare
Cradle of Vitality	soa	007	Enchantment	rare
Dispeller's Capsule	soa	008	Artifact	common
Elspeth, Knight-Errant	soa	009	Planeswalker - Elspeth	mythic
Ethersworn Canonist	soa	010	Artifact Creature - Human Cleric	rare
Excommunicate	soa	011	Sorcery	common
Guardians of Akrasa	soa	012	Creature - Human Soldier	common
Gustrider Exuberant	soa	013	Creature - Human Wizard	common
Invincible Hymn	soa	014	Sorcery	rare
Knight of the Skyward Eye	soa	015	Creature - Human Knight	common
Knight of the White Orchid	soa	016	Creature - Human Knight	rare
Knight-Captain of Eos	soa	017	Creature - Human Knight	rare
Marble Chalice	soa	018	Artifact	common
Metallurgeon	soa	019	Artifact Creature - Human Artificer	uncommon
Oblivion Ring	soa	020	Enchantment	common
Ranger of Eos	soa	021	Creature - Human Soldier	rare
Resounding Silence	soa	022	Instant	common
Rockcaster Platoon	soa	023	Creature - Rhino Soldier	uncommon
Sanctum Gargoyle	soa	024	Artifact Creature - Gargoyle	common
Scourglass	soa	025	Artifact	rare
Sighted-Caste Sorcerer	soa	026	Creature - Human Wizard	common
Sigiled Paladin	soa	027	Creature - Human Knight	uncommon
Soul's Grace	soa	028	Instant	common
Sunseed Nurturer	soa	029	Creature - Human Druid Wizard	uncommon
Welkin Guide	soa	030	Creature - Bird Cleric	common
Yoked Plowbeast	soa	031	Creature - Beast	common
Call to Heel	soa	032	Instant	common
Cancel	soa	033	Instant	common
Cathartic Adept	soa	034	Creature - Human Wizard	common
Cloudheath Drake	soa	035	Artifact Creature - Drake	common
Coma Veil	soa	036	Enchantment - Aura	common
Courier's Capsule	soa	037	Artifact	common
Covenant of Minds	soa	038	Sorcery	rare
Dawnray Archer	soa	039	Creature - Human Archer	uncommon
Esper Battlemage	soa	040	Artifact Creature - Human Wizard	uncommon
Etherium Astrolabe	soa	041	Artifact	uncommon
Etherium Sculptor	soa	042	Artifact Creature - Vedalken Artificer	common
Fatestitcher	soa	043	Creature - Zombie Wizard	uncommon
Filigree Sages	soa	044	Artifact Creature - Vedalken Wizard	uncommon
Gather Specimens	soa	045	Instant	rare
Jhessian Lookout	soa	046	Creature - Human Scout	common
Kathari Screecher	soa	047	Creature - Bird Soldier	common
Kederekt Leviathan	soa	048	Creature - Leviathan	rare
Master of Etherium	soa	049	Artifact Creature - Vedalken Wizard	rare
Memory Erosion	soa	050	Enchantment	rare
Mindlock Orb	soa	051	Artifact	rare
Outrider of Jhess	soa	052	Creature - Human Knight	common
Protomatter Powder	soa	053	Artifact	uncommon
Resounding Wave	soa	054	Instant	common
Sharding Sphinx	soa	055	Artifact Creature - Sphinx	rare
Skill Borrower	soa	056	Artifact Creature - Human Wizard	rare
Spell Snip	soa	057	Instant	common
Sphinx's Herald	soa	058	Artifact Creature - Vedalken Wizard	uncommon
Steelclad Serpent	soa	059	Artifact Creature - Serpent	common
Tezzeret the Seeker	soa	060	Planeswalker - Tezzeret	mythic
Tortoise Formation	soa	061	Instant	common
Vectis Silencers	soa	062	Artifact Creature - Human Rogue	common
Ad Nauseam	soa	063	Instant	rare
Archdemon of Unx	soa	064	Creature - Demon	rare
Banewasp Affliction	soa	065	Enchantment - Aura	common
Blister Beetle	soa	066	Creature - Insect	common
Bone Splinters	soa	067	Sorcery	common
Corpse Connoisseur	soa	068	Creature - Zombie Wizard	uncommon
Cunning Lethemancer	soa	069	Creature - Human Wizard	rare
Death Baron	soa	070	Creature - Zombie Wizard	rare
Deathgreeter	soa	071	Creature - Human Shaman	common
Demon's Herald	soa	072	Creature - Human Wizard	uncommon
Dreg Reaver	soa	073	Creature - Zombie Beast	common
Dregscape Zombie	soa	074	Creature - Zombie	common
Executioner's Capsule	soa	075	Artifact	common
Fleshbag Marauder	soa	076	Creature - Zombie Warrior	uncommon
Glaze Fiend	soa	077	Artifact Creature - Illusion	common
Grixis Battlemage	soa	078	Creature - Human Wizard	uncommon
Immortal Coil	soa	079	Artifact	rare
Infest	soa	080	Sorcery	uncommon
Onyx Goblet	soa	081	Artifact	common
Puppet Conjurer	soa	082	Artifact Creature - Human Wizard	uncommon
Resounding Scream	soa	083	Sorcery	common
Salvage Titan	soa	084	Artifact Creature - Golem	rare
Scavenger Drake	soa	085	Creature - Drake	uncommon
Shadowfeed	soa	086	Instant	common
Shore Snapper	soa	087	Creature - Beast	common
Skeletal Kathari	soa	088	Creature - Bird Skeleton	common
Tar Fiend	soa	089	Creature - Elemental	rare
Undead Leotau	soa	090	Creature - Zombie Cat	common
Vein Drinker	soa	091	Creature - Vampire	rare
Viscera Dragger	soa	092	Creature - Zombie Ogre Warrior	common
Bloodpyre Elemental	soa	093	Creature - Elemental	common
Bloodthorn Taunter	soa	094	Creature - Human Scout	common
Caldera Hellion	soa	095	Creature - Hellion	rare
Crucible of Fire	soa	096	Enchantment	rare
Dragon Fodder	soa	097	Sorcery	common
Dragon's Herald	soa	098	Creature - Goblin Shaman	uncommon
Exuberant Firestoker	soa	099	Creature - Human Druid Shaman	uncommon
Flameblast Dragon	soa	100	Creature - Dragon	rare
Goblin Assault	soa	101	Enchantment	rare
Goblin Mountaineer	soa	102	Creature - Goblin Scout	common
Hell's Thunder	soa	103	Creature - Elemental	rare
Hissing Iguanar	soa	104	Creature - Lizard	common
Incurable Ogre	soa	105	Creature - Ogre Mutant	common
Jund Battlemage	soa	106	Creature - Human Shaman	uncommon
Lightning Talons	soa	107	Enchantment - Aura	common
Magma Spray	soa	108	Instant	common
Predator Dragon	soa	109	Creature - Dragon	rare
Resounding Thunder	soa	110	Instant	common
Ridge Rannet	soa	111	Creature - Beast	common
Rockslide Elemental	soa	112	Creature - Elemental	uncommon
Scourge Devil	soa	113	Creature - Devil	uncommon
Skeletonize	soa	114	Instant	uncommon
Soul's Fire	soa	115	Instant	common
Thorn-Thrash Viashino	soa	116	Creature - Viashino Warrior	common
Thunder-Thrash Elder	soa	117	Creature - Viashino Warrior	uncommon
Viashino Skeleton	soa	118	Creature - Viashino Skeleton	common
Vicious Shadows	soa	119	Enchantment	rare
Vithian Stinger	soa	120	Creature - Human Shaman	common
Volcanic Submersion	soa	121	Sorcery	common
Where Ancients Tread	soa	122	Enchantment	rare
Algae Gharial	soa	123	Creature - Crocodile	uncommon
Behemoth's Herald	soa	124	Creature - Elf Shaman	uncommon
Cavern Thoctar	soa	125	Creature - Beast	common
Court Archers	soa	126	Creature - Human Archer	common
Cylian Elf	soa	127	Creature - Elf Scout	common
Druid of the Anima	soa	128	Creature - Elf Druid	common
Drumhunter	soa	129	Creature - Human Druid Warrior	uncommon
Elvish Visionary	soa	130	Creature - Elf Shaman	common
Feral Hydra	soa	131	Creature - Hydra Beast	rare
Gift of the Gargantuan	soa	132	Sorcery	common
Godtoucher	soa	133	Creature - Elf Cleric	common
Jungle Weaver	soa	134	Creature - Spider	common
Keeper of Progenitus	soa	135	Creature - Elf Druid	rare
Lush Growth	soa	136	Enchantment - Aura	common
Mighty Emergence	soa	137	Enchantment	uncommon
Manaplasm	soa	138	Creature - Ooze	rare
Mosstodon	soa	139	Creature - Plant Elephant	common
Mycoloth	soa	140	Creature - Fungus	rare
Naturalize	soa	141	Instant	common
Naya Battlemage	soa	142	Creature - Human Shaman	uncommon
Ooze Garden	soa	143	Enchantment	rare
Resounding Roar	soa	144	Instant	common
Rhox Charger	soa	145	Creature - Rhino Soldier	uncommon
Sacellum Godspeaker	soa	146	Creature - Elf Druid	rare
Savage Hunger	soa	147	Enchantment - Aura	common
Skullmulcher	soa	148	Creature - Elemental	rare
Soul's Might	soa	149	Sorcery	common
Spearbreaker Behemoth	soa	150	Creature - Beast	rare
Topan Ascetic	soa	151	Creature - Human Monk	uncommon
Wild Nacatl	soa	152	Creature - Cat Warrior	common
Agony Warp	soa	153	Instant	common
Ajani Vengeant	soa	154	Planeswalker - Ajani	mythic
Bant Charm	soa	155	Instant	uncommon
Blightning	soa	156	Sorcery	common
Blood Cultist	soa	157	Creature - Human Wizard	uncommon
Branching Bolt	soa	158	Instant	common
Brilliant Ultimatum	soa	159	Sorcery	rare
Broodmate Dragon	soa	160	Creature - Dragon	rare
Bull Cerodon	soa	161	Creature - Beast	uncommon
Carrion Thrash	soa	162	Creature - Viashino Warrior	common
Clarion Ultimatum	soa	163	Sorcery	rare
Cruel Ultimatum	soa	164	Sorcery	rare
Deft Duelist	soa	165	Creature - Human Rogue	common
Empyrial Archangel	soa	166	Creature - Angel	mythic
Esper Charm	soa	167	Instant	uncommon
Fire-Field Ogre	soa	168	Creature - Ogre Mutant	uncommon
Goblin Deathraiders	soa	169	Creature - Goblin Warrior	common
Godsire	soa	170	Creature - Beast	mythic
Grixis Charm	soa	171	Instant	uncommon
Hellkite Overlord	soa	172	Creature - Dragon	mythic
Hindering Light	soa	173	Instant	common
Jhessian Infiltrator	soa	174	Creature - Human Rogue	uncommon
