Alabaster Leech	inv	006	Creature - Leech	rare
Angel of Mercy	inv	011	Creature - Angel	uncommon
Ardent Soldier	inv	015	Creature - Human Soldier	common
Atalya, Samite Master	inv	020	Legendary Creature - Human Cleric	rare
Benalish Emissary	inv	027	Creature - Human Wizard	uncommon
Benalish Heralds	inv	028	Creature - Human Soldier	uncommon
Benalish Lancer	inv	029	Creature - Human Knight	common
Benalish Trapper	inv	030	Creature - Human Soldier	common
Blinding Light	inv	035	Sorcery	uncommon
Capashen Unicorn	inv	043	Creature - Unicorn	common
Crimson Acolyte	inv	055	Creature - Human Cleric	common
Crusading Knight	inv	059	Creature - Human Knight	rare
Death or Glory	inv	065	Sorcery	rare
Dismantling Blow	inv	070	Instant	common
Divine Presence	inv	073	Enchantment	rare
Fight or Flight	inv	093	Enchantment	rare
Glimmering Angel	inv	105	Creature - Angel	common
Global Ruin	inv	106	Sorcery	rare
Harsh Judgment	inv	112	Enchantment	rare
Holy Day	inv	115	Instant	common
Liberate	inv	137	Instant	uncommon
Obsidian Acolyte	inv	168	Creature - Human Cleric	common
Orim's Touch	inv	171	Instant	common
Pledge of Loyalty	inv	191	Enchantment - Aura	uncommon
Prison Barricade	inv	194	Creature - Wall	common
Protective Sphere	inv	197	Enchantment	common
Pure Reflection	inv	200	Enchantment	rare
Rampant Elephant	inv	208	Creature - Elephant	common
Razorfoot Griffin	inv	210	Creature - Griffin	common
Restrain	inv	217	Instant	common
Reviving Dose	inv	218	Instant	common
Rewards of Diversity	inv	220	Enchantment	uncommon
Reya Dawnbringer	inv	221	Legendary Creature - Angel	rare
Rout	inv	227	Sorcery	rare
Ruham Djinn	inv	229	Creature - Djinn	uncommon
Samite Ministration	inv	233	Instant	uncommon
Shackles	inv	246	Enchantment - Aura	common
Spirit of Resistance	inv	264	Enchantment	rare
Spirit Weaver	inv	265	Creature - Human Wizard	uncommon
Strength of Unity	inv	274	Enchantment - Aura	common
Sunscape Apprentice	inv	279	Creature - Human Wizard	common
Sunscape Master	inv	280	Creature - Human Wizard	rare
Teferi's Care	inv	289	Enchantment	uncommon
Wayfaring Giant	inv	345	Creature - Giant	uncommon
Winnow	inv	349	Instant	rare
Barrin's Unmaking	inv	025	Instant	common
Blind Seer	inv	034	Legendary Creature - Human Wizard	rare
Breaking Wave	inv	039	Sorcery	rare
Collective Restraint	inv	053	Enchantment	rare
Crystal Spray	inv	061	Instant	rare
Disrupt	inv	071	Instant	uncommon
Distorting Wake	inv	072	Sorcery	rare
Dream Thrush	inv	076	Creature - Bird	common
Empress Galina	inv	085	Legendary Creature - Merfolk	rare
Essence Leak	inv	086	Enchantment - Aura	uncommon
Exclude	inv	087	Instant	common
Fact or Fiction	inv	090	Instant	uncommon
Faerie Squadron	inv	091	Creature - Faerie	common
Mana Maze	inv	148	Enchantment	rare
Manipulate Fate	inv	150	Sorcery	uncommon
Metathran Aerostat	inv	152	Creature - Metathran	rare
Metathran Transport	inv	153	Creature - Metathran	uncommon
Metathran Zombie	inv	154	Creature - Metathran Zombie	common
Opt	inv	169	Instant	common
Phantasmal Terrain	inv	175	Enchantment - Aura	common
Probe	inv	195	Sorcery	common
Prohibit	inv	196	Instant	common
Psychic Battle	inv	198	Enchantment	rare
Rainbow Crow	inv	207	Creature - Bird	uncommon
Repulse	inv	215	Instant	common
Sapphire Leech	inv	234	Creature - Leech	rare
Shimmering Wings	inv	247	Enchantment - Aura	common
Shoreline Raider	inv	252	Creature - Merfolk	common
Sky Weaver	inv	256	Creature - Metathran Wizard	uncommon
Stormscape Apprentice	inv	272	Creature - Human Wizard	common
Stormscape Master	inv	273	Creature - Human Wizard	rare
Sway of Illusion	inv	285	Instant	uncommon
Teferi's Response	inv	291	Instant	rare
Temporal Distortion	inv	293	Enchantment	rare
Tidal Visionary	inv	299	Creature - Merfolk Wizard	common
Tolarian Emissary	inv	302	Creature - Human Wizard	uncommon
Tower Drake	inv	303	Creature - Drake	common
Traveler's Cloak	inv	305	Enchantment - Aura	common
Vodalian Hypnotist	inv	334	Creature - Merfolk Wizard	uncommon
Vodalian Merchant	inv	335	Creature - Merfolk	common
Vodalian Serpent	inv	336	Creature - Serpent	common
Wash Out	inv	343	Sorcery	uncommon
Well-Laid Plans	inv	346	Enchantment	rare
Worldly Counsel	inv	350	Instant	common
Zanam Djinn	inv	354	Creature - Djinn	uncommon
Addle	inv	002	Sorcery	uncommon
Agonizing Demise	inv	005	Instant	common
Andradite Leech	inv	010	Creature - Leech	rare
Annihilate	inv	013	Instant	uncommon
Bog Initiate	inv	038	Creature - Human Wizard	common
Cremate	inv	054	Instant	uncommon
Crypt Angel	inv	060	Creature - Angel	rare
Cursed Flesh	inv	062	Enchantment - Aura	common
Defiling Tears	inv	066	Instant	uncommon
Desperate Research	inv	068	Sorcery	rare
Devouring Strossus	inv	069	Creature - Horror	rare
Do or Die	inv	074	Sorcery	rare
Dredge	inv	077	Instant	uncommon
Duskwalker	inv	081	Creature - Human Minion	common
Exotic Curse	inv	088	Enchantment - Aura	common
Firescreamer	inv	096	Creature - Kavu	common
Goham Djinn	inv	108	Creature - Djinn	uncommon
Hate Weaver	inv	113	Creature - Zombie Wizard	uncommon
Hypnotic Cloud	inv	119	Sorcery	common
Marauding Knight	inv	151	Creature - Zombie Knight	rare
Mourning	inv	162	Enchantment - Aura	common
Nightscape Apprentice	inv	163	Creature - Zombie Wizard	common
Nightscape Master	inv	164	Creature - Zombie Wizard	rare
Phyrexian Battleflies	inv	177	Creature - Insect	common
Phyrexian Delver	inv	178	Creature - Zombie	rare
Phyrexian Infiltrator	inv	179	Creature - Minion	rare
Phyrexian Reaper	inv	181	Creature - Zombie	common
Phyrexian Slayer	inv	182	Creature - Minion	common
Plague Spitter	inv	184	Creature - Horror	uncommon
Ravenous Rats	inv	209	Creature - Rat	common
Reckless Spite	inv	212	Instant	uncommon
Recover	inv	214	Sorcery	common
Scavenged Weaponry	inv	239	Enchantment - Aura	common
Soul Burn	inv	261	Sorcery	common
Spreading Plague	inv	267	Enchantment	rare
Tainted Well	inv	286	Enchantment - Aura	common
Trench Wurm	inv	307	Creature - Wurm	uncommon
Tsabo's Assassin	inv	313	Creature - Zombie Assassin	rare
Tsabo's Decree	inv	314	Instant	rare
Twilight's Call	inv	317	Sorcery	rare
Urborg Emissary	inv	320	Creature - Human Wizard	uncommon
Urborg Phantom	inv	321	Creature - Spirit Minion	common
Urborg Shambler	inv	322	Creature - Horror	uncommon
Urborg Skeleton	inv	323	Creature - Skeleton	common
Yawgmoth's Agenda	inv	353	Enchantment	rare
Ancient Kavu	inv	008	Creature - Kavu	common
Bend or Break	inv	031	Sorcery	rare
Breath of Darigaaz	inv	040	Sorcery	uncommon
Callous Giant	inv	041	Creature - Giant	rare
Chaotic Strike	inv	046	Instant	uncommon
Collapsing Borders	inv	052	Enchantment	rare
Crown of Flames	inv	058	Enchantment - Aura	common
Firebrand Ranger	inv	094	Creature - Human Soldier	uncommon
Ghitu Fire	inv	104	Sorcery	rare
Goblin Spy	inv	107	Creature - Goblin Rogue	uncommon
Halam Djinn	inv	109	Creature - Djinn	uncommon
Hooded Kavu	inv	116	Creature - Kavu	common
Kavu Aggressor	inv	128	Creature - Kavu	common
Kavu Monarch	inv	132	Creature - Kavu	rare
Kavu Runner	inv	133	Creature - Kavu	uncommon
Kavu Scout	inv	134	Creature - Kavu Scout	common
Lightning Dart	inv	138	Instant	uncommon
Loafing Giant	inv	143	Creature - Giant	rare
Mages' Contest	inv	146	Instant	rare
Maniacal Rage	inv	149	Enchantment - Aura	common
Obliterate	inv	167	Sorcery	rare
Overload	inv	173	Instant	common
Pouncing Kavu	inv	192	Creature - Kavu	common
Rage Weaver	inv	205	Creature - Human Wizard	uncommon
Rogue Kavu	inv	225	Creature - Kavu	common
Ruby Leech	inv	228	Creature - Leech	rare
Savage Offensive	inv	237	Sorcery	common
Scarred Puma	inv	238	Creature - Cat	common
Scorching Lava	inv	240	Instant	common
Searing Rays	inv	242	Sorcery	uncommon
Shivan Emissary	inv	248	Creature - Human Wizard	uncommon
Shivan Harvest	inv	249	Enchantment	uncommon
Skittish Kavu	inv	254	Creature - Kavu	uncommon
Skizzik	inv	255	Creature - Elemental	rare
Slimy Kavu	inv	258	Creature - Kavu	common
Stand or Fall	inv	270	Enchantment	rare
Stun	inv	275	Instant	common
Tectonic Instability	inv	288	Enchantment	rare
Thunderscape Apprentice	inv	297	Creature - Human Wizard	common
Thunderscape Master	inv	298	Creature - Human Wizard	rare
Tribal Flames	inv	310	Sorcery	common
Turf Wound	inv	316	Instant	common
Urza's Rage	inv	326	Instant	rare
Viashino Grappler	inv	330	Creature - Viashino	common
Zap	inv	355	Instant	common
Aggressive Urge	inv	004	Instant	common
Bind	inv	032	Instant	rare
Blurred Mongoose	inv	037	Creature - Mongoose	rare
Canopy Surge	inv	042	Sorcery	uncommon
Elfhame Sanctuary	inv	083	Enchantment	uncommon
Elvish Champion	inv	084	Creature - Elf	rare
Explosive Growth	inv	089	Instant	common
Fertile Ground	inv	092	Enchantment - Aura	common
Harrow	inv	111	Instant	common
Jade Leech	inv	125	Creature - Leech	rare
Kavu Chameleon	inv	129	Creature - Kavu	uncommon
Kavu Climber	inv	130	Creature - Kavu	common
Kavu Lair	inv	131	Enchantment	rare
Kavu Titan	inv	135	Creature - Kavu	rare
Llanowar Cavalry	inv	139	Creature - Human Soldier	common
Llanowar Elite	inv	140	Creature - Elf	common
Llanowar Vanguard	inv	142	Creature - Dryad	common
Might Weaver	inv	156	Creature - Human Wizard	uncommon
Molimo, Maro-Sorcerer	inv	157	Legendary Creature - Elemental	rare
Nomadic Elf	inv	166	Creature - Elf Nomad	common
Pincer Spider	inv	183	Creature - Spider	common
Pulse of Llanowar	inv	199	Enchantment	uncommon
Quirion Elves	inv	202	Creature - Elf Druid	common
Quirion Sentinel	inv	203	Creature - Elf Druid	common
Quirion Trailblazer	inv	204	Creature - Elf Scout	common
Restock	inv	216	Sorcery	rare
Rooting Kavu	inv	226	Creature - Kavu	uncommon
Saproling Infestation	inv	235	Enchantment	rare
